,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
1347,200473,1147258093,11,-1,66.471,-14.5553,-18.7351,-62.093,-1.68991,-2.23129,-11,1,21.445,-1.11941,17.8388,11.8495,0.622053,1.63347,-11,1,17.5204,14.3179,-8.83657,-4.88649,-0.286491,-0.552948,11,-1,7.49416,-4.98872,4.66604,-3.08271,-0.437234,2.3896,96.429531,42.521169,14.725532
1362,200473,474840108,-13,1,62.5696,25.5684,-20.5448,53.2834,1.2619,-0.676885,13,-1,21.8882,-8.08827,14.4951,-14.2672,-0.778471,2.07976,-13,1,22.0695,8.31383,-3.17452,20.1954,1.55798,-0.364751,13,-1,10.0483,3.94407,-1.44175,9.12809,1.51872,-0.350459,89.002494,42.058643,4.875556
1367,200473,798451717,13,-1,45.0451,-12.6043,-35.2232,25.09,0.628473,-1.91444,-13,1,45.022,1.95338,29.0039,-34.3792,-1.00482,1.50355,13,-1,15.1127,13.3216,3.6078,6.15647,0.432465,0.264478,-13,1,5.40724,-4.39882,2.33608,2.10243,0.410493,2.6534,110.568393,39.02322,20.864841
1371,200473,971889698,-13,1,219.274,145.755,-39.7824,158.915,0.917539,-0.266451,-13,1,84.3723,-77.9513,27.964,16.1332,0.193597,2.79716,13,-1,16.3739,-13.1968,4.73775,8.45525,0.571414,2.79692,13,-1,8.36061,-7.23725,1.27647,3.98516,0.518701,2.96701,265.338285,93.366634,9.085706
1374,200491,230077151,-13,1,62.6319,-19.6479,20.6986,55.7518,1.42266,2.33016,-13,1,25.1559,8.06612,-23.6011,3.27627,0.130984,-1.24147,13,-1,16.7811,4.70973,-15.6989,-3.5994,-0.21788,-1.27934,13,-1,10.0598,8.07566,-3.96132,-4.50345,-0.481808,-0.45604,100.179019,47.367041,7.134088
1381,200519,136611635,11,-1,48.7887,34.0576,31.393,-15.3265,-0.325132,0.744709,-11,1,77.4502,0.958642,-44.7543,-63.2034,-1.14488,-1.54938,-11,1,24.5851,-20.4584,8.60918,-10.5718,-0.459908,2.74327,11,-1,21.5349,-16.6156,8.76767,-10.5264,-0.534487,2.65605,140.575507,57.286229,48.579147
1384,200519,356265597,-13,1,70.9419,-8.8128,16.6878,-68.3857,-1.99916,2.05667,13,-1,11.4017,10.2342,-2.07307,-4.57725,-0.425401,-0.199859,-11,1,12.0974,-4.94073,-10.3452,3.8617,0.330777,-2.01635,11,-1,14.2823,-1.09084,-10.2342,9.90225,0.854329,-1.67698,90.88126,35.231601,6.822808
1386,200519,457871804,-13,1,50.0245,-10.0544,-42.7291,-23.9911,-0.522448,-1.8019,13,-1,27.6307,15.5674,15.5727,-16.6909,-0.699543,0.785568,13,-1,31.4864,7.90291,5.06207,-30.055,-1.88058,0.569691,-13,1,17.4934,4.35343,2.82216,-16.7061,-1.88582,0.575151,87.766517,47.954268,13.624039
1388,200519,558680662,-13,1,47.632,-2.66165,33.615,33.6414,0.87972,1.64981,-13,1,32.8762,6.35152,-26.7805,17.9804,0.61397,-1.33793,13,-1,56.2536,-14.7805,13.1768,52.6533,1.70474,2.41349,13,-1,9.90371,-4.67451,7.09965,5.08097,0.566882,2.15306,92.566077,51.950874,9.971661
1391,200525,1066576272,13,-1,95.3359,-55.1312,48.5357,60.7763,0.753946,2.41973,13,-1,186.404,31.3488,-47.2941,177.559,1.85856,-0.985441,-13,1,27.5609,14.1532,-23.1086,5.02712,0.184466,-1.02126,-13,1,12.3033,4.11752,11.5885,0.334976,0.027234,1.2294,209.534604,73.595618,40.426407
